Text,Label
ይገባሉ እንጂ መቼም ከአማራ አይወጧትም,Regional
ዋነኛው ዘረኛ ኦሮሞ ኦሮሞ ዘረኛ የሚያላዝነውና ካባ ስር የተወሸቀው አልቃሻ ቡድን ሰላም ለሀገራችንድ,Individual
ጀዋረ ታሰረ ኦኤም ኤን ተዘጋ ሃገረ ተረጋጋ እንተረኔት ክፈቱልን እንጅ ጋላን ፈረታቹሁ 10 ጋላን ላንድ አማራ አባቶቻችን የገነቧትን ሃገረ ለጥንባታም ጋላ አሳልፈን አንሰጥም ጋላ ስጠግብ መዳንቱ አማራ ያስገበዋል ሃጫሉ,Regional
ችኮችየ ለሴት ዋናው መልክ ጸባያቸው በዱላ ይስተካከላል,Country
አሁን የኦህዴድ ሚኒሻ ሰራዊት አከርካሪው ያለጥርጥር ተሰብሯል ቀሪው ፍጻሜውን ነው,Regional
ጀኔራሎቹ ህዝቡ አንቅሮ ተፍቷቸው ባይተዋር ሆነው ተክዘዋል,Country
የተፈፀመውን ግድያ በብርጋደል ጀኔራል አሳምነው ፅጌ በአብን በፀንፈኛ አማራ ናሽናሊዝም ማላከክ የችግሩን ምንጭ ከመከለል በቀር አይፈይድም መነሻ ምክንያቱን መፈተሽ ብልህነት,Regional
ጎጃምን ነጥዬ እመታለሁ ብሎ የተነሳው የሰውበላው አብይ አመድ ሰራዊት ፣ የቤተአማራ ወሎ ፋኖ አጭዶ አጭዶ ከምሮታል,Country
ከኦሮሞ ሙስሊም የእስራኤል አይሁድ ይሻሉኛል,Regional
መቶ አለቃ ኢንጅነር ዘመኑ ወቅቱ የህወሀት የበላይነት የነበረበት ስለነበረ አማራ ጠሉን ህወሀት ውስጥ ላይ በመሆን ታግሏል አታግሏል ታስሯል ከዛም ህወሀት ጥቅምት 24 /2012 ዓም ሰሜን እዝ ጥቃት እስኪፈፀምበት መከላከያን አገልግሏል,Regional
በእምነት ኦሮሞን የመግፋት ሙከራ አይሳካም,Regional
ታከለ ኡማ ጭራቅ የአድሳባ የአማራ የክርስትና አውዳሚ መርዘኞ ጋላ ስለዚህ ይውረድ ይባረር ጥቅም የለሽ ጋላነው,Individual
ኦሮሞ አራጅ ገዳይ ዘራፊ,Regional
የጁንታው ጭንጋፍ ተከቧል ማምሻውን በወጡ መረጃወች ጭንጋፋ ስዩም መስፍን በገረአልታ ተራራ ተደብቆ እንደሚገኝ ለመከላከያ ሰራዊቱ በደረሰው መረጃ መሰረት ገረአልታ ተራራ የመከላከያ ሰራዊቱ ተንቀሳቅሶ ተራራውን በነገው እለት ሞቱን ሰንሰለቱን እንሰማለን,Individual
ጀማሪውም ያንተው ወገን ነውግን የነሱን የጭካኔ አገዳደል ይንገረን ለማንኛውም በናንተ ወሬ የትም ዩኒቨርስቲ ለተገደሉት ነፍስ ይማር ለቤተሰብም መፅናናትን እመኛለሁየናንተ ነፍስ በምድርም በሰማይም እንደምትቃጠል ተስፋ አደርጋለሁ,Non-Racist
ፋሽቱ አብይ አህመድ በአማራ ህዝብ ላይ መጠነ ሰፊ ጥቃት መክፈቱ ይታወቃል ነገር ግን እንዳሰበው እየሔደለት አይደለም እንዲሁም ለሁሉም ግገባሮች ቅስም ሰባሪ ከባድ ሽነፈቶችን እየተከናነበ ይገኛል,Country
ክርስቲያ የገዥው ፓርቲ እንጅ ለህዝብ አገልግሎ ያውቃልና,Individual
የፋኖ መግለጫ ድል ያቆመናል,Individual
የማንነት ቀውስ ካሉ ሰወች የመጀመሪያዋ አስቴር በዳኔ ነት እጅግም ታነድደኝ,Non-Racist
የቀን ጅብ ትግሬወች ጥንብ አንሳወች,Regional
የአማራ ወጣቶች በኦሮሞ አውሬ ታግተው እየተደረጉ ይች ቆማጣ የእንጭቅ ለባሏ አህያ ዘመዶች ትምህርት ትከፍታለች ሸርሙጣ,Individual
የጉምዝ ታጣቂወችና ቀስተኞች አማራ በመግባት ጥቃት አደረሱ የአማራ ሀይል እንደሞተም ታውቋል,Individual
እዚ ግሩፑ ኢትዮጲያን የሚሳደበው በጠጣም ትላም ጋላ ሸገር የሚገኘው አንገቱን ገንጥላቹ ጣሉት ቄራ አካባቢ የጋሎች ቢሮ ጥበቃ ሳ የሚሰራው,Individual
ሙስሊምን ሲበድል የኖረ የኦርቶወች መንጋ ሲዋረድ ማየቴ እድለኛ,Country
ጋላወች የኛ ሀይማኖት ዋቄፈታ ብለው አስረግጠው ዋቄፈታ ጋላወች ዛፎችን ቅቤ እየቀቡ ዋቃዮን የሚማፀኑበት ነውረኛ ባእድ አምልኮ በነገራችን ጋላ የኦሮሞ ጥንታዊ ኬኒያ በዚሁ ጥንታዊ ስማቸው ጋላ እየተባሉ ይጠራሉ,Regional
ኦህዴድ የአማራን ህዝብ በውጊያ ከአንድ ቀን በላይ መቋቋም እንደማይችል ጠንቅቆ ያወቀዋል,Regional
የመከላከያ ሕዝብን የመዝረፍ ጦርነቱ  አሁንም እንደቀጠለ ነው,Country
በራሱ ሚድያ አማሮች እንኳን አይስማማም ለምሳሌ ከእነ አበበ ገላው ምናላቸው,Regional
ለወንበዴው ፋሽስት የአብይ ወታደር ሀይል የሚገባው አኖን አምቶ በዚ ስሌት ማሳየት ብቻ ነው,Country
መንግስትን በቀጥታ አንገጥምም ማተባችን ማተባችን ማሽሞንሞን አያስፈልግም,Non-Racist
ከታሰርክበት ፈቶ ላከብን,Non-Racist
ከወረዳ ተቆማት በአማራ የሚዘግቡት ብልፅግና ግርምት የሚሞተው የራሳቸው ማህበረሰብ መሸት በግላቸው ፌስቡክ ፍትህ ለንፁሀን ይላሉ የተረገመ ፍጥረት የአማራ ከርሳም ካድሪ ጭራሽ ትልቁ ሚድያማ የሚዘግበው ለ3 አመት ሙሉ በስልክ እየደወለ የሌላ አገሮች ሚድያ አለምን እየዞሩ ይዘግባሉ የአማራ ሚድያ ወለጋ ቻግኒ በስልክ የሚዘግቡት,Non-Racist
አማራ በራሱ መብቱ ያልተከበር በሌላው ቅንጦት ይከበር የአማራ ሊነቃ ሊታገለው የሚገባው መጀመሪያ የራሱን አመራር በስልጣን ያሉትን ከዚያ ለህዝብ የሚቆረቆር ከክልሉ ውጭ ላሉትም አማራ ይታገላል በአደን የሚባል ድርጅት የሞተ የበሰበሰ ስግብግብ ለሆዱ ያደረ አማራዊ አሞት የሌለው ድርጅት ሱዳን ከወረረችን ስንት ወር ሆነን እንኳን ጫና,Non-Racist
ሁለቱም፣ የጋራ ጠላት የሚሉት መጣብን ስለሚሉ፣ ፋኖዎችን፣ እርስ በርስ ያላቸውን ቁርሾ ለጊዜው ወደ ጎን አድርገው ሊሰባሰቡ ሊስማሙ ይችላሉ,Individual
እናቱን ሳያከብር የናቶችን ማክበር የእቲስት ባህሪ,Individual
ጋላ ከብት ሲባል ኦሮ ክርስቲኖችን አያጠቃልልም,Regional
ከዋልታ ዘረኛ ሚድያ እንጅ አታስቁን,Individual
ከአሁን ጋላ ማንነቱን ለመደበቅ የሚያደርገውን ጥረት በዝምታ አናየውም ውሸት ሲደጋገም ይመስላል ቆማጣው ጋላ ያሉት አምስቱም የቁምጥና ጣቢያወች ያሉት ጋላ ጋላ በተፈጥሮ የቁምጥና በሽታ የሚያጠቃው ብሄር,Regional
ጣርሞት ላይ የሚገኘዉ የፋሽስቱ ጨፍጫፊዉ የአብይ የኦሮሙማ አምባገነን አገዛዛ ትላንት በ28/2/2016 ዓ.ም በጎጃም አዊ ዞን በአዘና እና ግምዣ ቤት በተደረገ ጦርነት ነበልባሉ ፋኖ ስፍር ቁጥር የጠላት ኃይል ሲረፈርፍ መዋሉ ይታወቃል,Regional
የውሻ,Non-Racist
ሃሴትን ከበጎነት በምድር ሲመላለስ የመንፈስ እርካታን ከሚያጎናጽፉት ተግባራት ለተቸገረ መድህን ለወገንም አለኝታ ሲችል,Non-Racist
የፋኖ መግለጫ በራሳችን ልጆች መመራት ያቆመናል,Individual
ለማንኛውም ኢትዮጵያዊ,Non-Racist
እንኳን ለእትዮጵያ እምየ የሚይዝን ትውልድ አለመኖሩ እንኳን ለኛ ለሌሎችም እርጉም ትውድ,Country
ወንድማ አቃጣሪ አይሆንም እንዳልከው ወንዳገረድ ሽንታም የሽንታም,Individual
የምትግደረደር የምትለኝ,Individual
ፅሁፍ የፀፈው ይህንን የለጠፈው ዋልታ ቲቪ ራሱ ቀንደኛ ዘረኞች ራስን ንፁህ እያደረክ የራስህን ዘረኝነት በሆነ ማንነት ደብቆ ሌላውን መኮነን ራሱ ዘረኝነት,Individual
በአማራ የሚፈጸመው ግድያ አፈና በአስቸኳይ,Non-Racist
ይሄን ሚስጥር ባላወጣ ይለኝ,Non-Racist
በየመን በሳውድ እየተሰቃዩ የትግራይ ተወላጆች ድምጽ ሆናቹ,Country
በከተማዋ የብአዴን ሚኔሻዎች ወይም የአበባው በለጠ የግል አጃቢዎች ሁሉም እኛ ወገናችን ላይ ባንዳ አንሆንም ብለው ተበትነው ጠፍተዋል,Regional
የአብይ መንግስት የተጠቃና የአንድ ግለሰብን ወንበር ለማስቀጠል የሚሞት ስብስብ መሆኑ ነው,Country
ኦሮሞ ለፈጣሪው ምስጋና የሚያቀርብበት መንገድ ነፍጥኞች የመረጡለት መንገድ ሊሆን አይችልም,Regional
የደርግ ወታደር ስንል እንደዛ አትበሉ ወታደር በሉት ሲሉን ተከርብተው የህወሀት ወታደርና የጁንታው ሀይል የትግራይ ወታደር መከላከያ ሀይል,Non-Racist
ኦሮሞ ነፍጥኞች የሚማልዱለትን ሃይማኖት ሊኖረው አይችልም,Regional
ማህበረ እርኩሳን ሙስሊሙን ለመወንጀል ሮጡ ደከሙ የኦሮሞ ኦርቶዶክሶች የደብተራወች ውሸትና ቅጥፈታቸውን አደባባይ አሰጡላቸው,Country
ችኮችየ ለሴት ዋናው መልክ ጸባያቸው በዱላ ይስተካከላል,Country
ይሙት ከዋልታ ቆሻሻና ዘረኛ በኢትዮጵያዊነት ካባ ስር መወሸቁ ዘረኛነታቹህን አይደብቀውም,Individual
ይሄንን ግፍ እንደሚያደርሱብን አሳምነው ፅጌ ያውቅ ነባረ አማራ ታነስ አማራ ታነሳ ተከባሀል አማራ ተነስ ታከበሀል ሲልም እብድ ያሉት እነዚህ ያባዱ ውሾች ነቻው በነገር ያአሁኑን ርእሳ መስታዳድር አማሳግናለሁ አማራ ነና ብለው ለጋላ አሰረዱን ሴቷቻችንን አስደፈሩ የአማራ ውክልና ይዘው ሲያበቁ አሳልፈው ሻጡን ያደርጋል ብልፅግና አይሆንም,Individual
ቅዱስ ሲኖዶስ ለሰባት ቀናት ጸሎተ ምህላ እንድደረግ ውሳኔ አስተላለፈ,Non-Racist
ልደት እንኳንም ተወለድክ ረጅም እድሜ ከጤና እመኝልሃለሁ,Non-Racist
የአብይ ወታደር ሆይ የአማራ የህልውና ትግል ይበልጥ እንዲግል ታደርጉት እንጂ ከኪሳራቹ በቀር ቅንጣት የስነልቦና ትርፍ እንደማታገኙ ምንም አትጠራጠሩ ዘራፊወች,Regional
የኦርቶዶክስ ፃፊው የእምነት አባት ናቸውስ የአማራ ብሄር መብት አስከባሪ ወይስ ፖለቲከኛ,Regional
የእስልምና ጉዳዮች ተብየ የኦሮሞ ጫት አመንዣጊ ስብስብ ያ የታረደው ኦርቶዶክሳዊ ሙስሊም ኖሮማ ኒኩሌር ይዞ ሀገሪቱን ከቱርክ ያነዳት,Country
ህዝብ ሁሌም አሸናፊ ነው እና በዛ ላይ እውነትን እና ፍትህን ገንዘቡ ያደረገ የተገፋ ስልጡን ህዝብ ላይ የአብይ ተላላኪወች እጃችሁን አንሱ,Country
ፋኖ መላው ኢትዮጵያን ከግፈኞች እጅ በማላቀቅ በኢትዮጵያ ላይ ፍትህና ርትዕ ሳያሰፍን ኢትዮጵያን ወደ ሚመጥናት ከፍታ ሳያወጣ  አይመለሰም,Individual
በሙስሊም ሚሸበሩት ሰይጣን ኦርቶዶክስ,Country
እንዳንተ አይነቱም ዘረኞ ከዚህ የበለተ ማሰብ አችልም አለማየው ተወዳዳሪ የሌለው ምርጥ አክተር አተ ቆዳ,Individual
እሁድ ይሁንላችሁ,Non-Racist
አትሌቱ የሚኒሻ ብርሀኑ ጁላ ሚኒሻ ሰራዊት በምድር ድሮወኑ ፋኖ በታላቅ ጀግንነት ተደብድቦ ወደ ደንበጫ አካባቢ እሬሳውን ለአውሬ አትረፍርፎ የተረፈው እንዳመለጠ ነው የደረሰን መረጃ,Country
ሃብታም ስር የማይጠፉ አበሻ ሴቶችና ቆሻሻ የሚርመሰመሱ ዝንቦች,Country
ጓንጓ ወረዳ ኮሙኒኬሽን የጉምዝ ታጣቂ ጥቃት ማድረሱን እንደሚከተለው ሽፍታው የጉሙዝ ቡድን በአማራ ጥቃት ከፍቷል ታህሳስ ከጥኋቱ በአዊ ብሄረሰብ አስተዳደር ጓንጓ ወረዳ ጎንቻ በሰብል አጨዳ ካሉት አርሶ አደሮች የጉሙዝ ሽፍቶች ጥቃት አድርሰዋል መረጃውን ከቆይታ እናደርሳለን ብአደን ወደት,Regional
ተገቢ ጥያቄ,Individual
"ለምንድነው የኢትዮጵያ አንባገነን መንግስታት መውደቂያቸው መድረሱን ሲገባቸው "" አይቻልም "" የሚል ቃል በመናገር እራሳቸውን ለማፅናናት ይጥራሉ",Country
የፈሪወች አቢይ ቆሸውና ኢሳያስ አፈጨርቂ በትግራይ ያሳደሩትን በቀል ለመወጣት ፈፅመዋል,Non-Racist
ማህረሰብኮ እንደዚህ አመለካከታችንአዋሽ ባንክ አላችሁ ብርሃን አላችሁ ተረኛ አለማየሁ ታደሰኧረ እስከመቸ ጎበዝ የምንገፋው,Individual
ጋላ ቁልቋል ለአማራ ስጋው ሳይሁን ስጋቱ ቁልቋል ጋላ ለአማራ ጥላው ጠላቱ,Regional
በአለም ላይ ያሉ የጀግንነት አርማ እና የጀግንነት ስሞች ከመከላከያ ይልቅ ነበልባሉን ሩኖ በጀግንነቱ ልክ ሊገልጹት አይችልም,Country
ኦሮሞ ሃይማኖትሽን ዋናውን ረሳኸው ዘረብስ ሁላ,Regional
ባለፈውም አየሁት አላልክም,Non-Racist
በዚያ ሽርጣሞቹ ፋኖዎች ወረባቦ፣ ጎራና፣ ቦቆቅሳ የተቆጣጠሩ ሲሆን፣ ከወረባቦ ወረዳ ዋና ከተማ፣ ቢስቲማ መቃረባቸው እየተሰማ ነው,Non-Racist
የእነ ኮሌኔል ቢኒያም ተወልደ የመጨረሻው የቀድሞው ምክትል ዳይሬክተር ቢኒያም ተወልደና ጓደኞቹ ትናንትና የመጨረሻ የቴሌኮም ኦፕሬሽን ቴሌኮሚኒኬሽን ሲስተሞችና በመከላከያ ሰራዊቱ የኮሚኒኬሽን ተቋማት እንደሞከሩ እየተነገረ በትናንትናው እለት ትግራይ ቴሌኮምን ጀመርን የተደለቀው ሰበር አላማው የስልክና ኢንተርኔት አገልግሎትን ለትግራይ ለማድረስ የታለመ ሶስት አራተኛው የትግራይ መሬት የፌደራሉ ሰራዊት በወደቀበት ቴሌኮም እጀምራለሁ ከጎድጓድ መፎከር ከቀልድ አያልፍም ኮሌኔል ቢኒያም ይልቅስ የሞከሩት የመከላከያ ሰራዊቱን የሬድዮ ኮሚኒኬሽን ዋንኛውን የቴሌ ሲስተም በአደገኛ ሶፍትዌሮች ማወክ የቴሌ ለጥቂት ተቀድመን ተደምጧል ከህወሀት ትግል የተገባደደ የመሰለህ የዋህ ቀበቶህን ጠበቅ አድርግ ህወሀት መቃብር ከመውረዱ ስልጣን ያገኘውን ገንዘብ መረጃ እውቀትና ሀይል ስርአቱን ለማንበርከክ መጠቀሙ አይቀርም,Individual
በመገናኘቴ ደስተኛ,Non-Racist
አማራን በጎንደር እየገቡ ከቅማት ጦር ያጠቁት ግንቦት ሰባቶች ናቸውያ በአስራት,Individual
መሬት ከምሰራው በተጨማሪ ማህበራዊ ሚድያ ቁጭ ብየ በአማርኛ ስጽፍ አልውልም ይልቁንም,Non-Racist
ለመድፈር አለባበስ ብቻውንበቂ ባይሆንም አንፃራዊ ፍጹማዊ መፍትሄ ባናደርገው የሴተኛ አዳሪ እህቶቻችንን አለባበስ ምንን ያመለክታል,Non-Racist
አይሁድ የህግ መጽሃፍትን ጠቅሰው በሞገቱት ኢየሱስ አላቸው እናንተ በመፃህፍት የዘላለምህይወት እንዳላችሁ ይመስላችኋልና እነርሱን ትመረምራላችሁ እነርሱም ስለኔ የሚመሰክሩ,Individual
ከዚያ ወጭ በፋኖ የተማረከውን የአማራ ባለስልጣን መቁጠር አሁን ላይ አዳጋች ሆኗል,Regional
በፎቶ በቪድዮ ጭምር በተጨባጭ ማሰረጃ የተደገፈውን የወሎ ኦሮሞወች የተደረገውን ዘግኛኝ ጭፍጨፋን አለፈው ብለን እኛንም እየገረመን ቆይ ቆይ ለካሰ አንተና መሰሎችሁ ሰለ ኦሮሞ ህዝቦች በደል የኦሮሞን ህዝቦች እንድጠለሽ ከተቻለም ከምድረ ገጽ እንድጠፋ ከሚሆነው ከጀርባ ያላችሁት እንደሆነ ዘንግቸው ለሁሉም ቅማንትን የወሎን ኦሮ,Non-Racist
የአሁኑ ግን የመሳካት እድል ይኖረዋል ብዬ አስባለሁ,Non-Racist
ፋኖ ገዳይ ቡድን ነው,Individual
ከሁሉ ይገርመን የነበረው አልከፍልም አለኝ እያሉ አገሩን በኡኡታ የሚያቀልጡት ሴተኛ አዳሪወች,Individual
የጋላ አጋሜ ሻእቢያ ባንዳወች አመታት ስር,Regional
በነፃነት እንኖር ዘንድ ክርስቶስ ነፃ አወጣን ከእንግድህ ፀንታችሁ ቁሙ በባርነት ቀንበር አትያዙ,Non-Racist
ያ ማለት ምንድን ነው ? ወልዲያ ከተማ በፋኖዎች እይታ ውስጥ ናት ማለት ነው,Individual
የፌደራል ፖሊስ ኮሚሽን የተደራጀ ቡድን ስለመኖሩ የሚያረጋግጥ መረጃ ማግኘቱን ገለጸ,Regional
በማር የተለወሰ መርዝ,Non-Racist
በአንተ ስብከት እንኳን የአንድ አገር ህዝቦች ይቅርና አገረባች አገሮች ራሱ በሽታ ነውመጽሃፍ እንጅ ማንባብ አትችልም ሃሳት ተበልክ,Non-Racist
የኦሮሞ ለብዙ ዘመናት ተሸክሟችዃል በቅቷል እራሱን መቻል አለበት,Regional
ኡስታዝ አቡበክር አህመድ የታገቱት ተማሪወች በአስቸኳይ ይለቀቁ,Non-Racist
በትግራይ የዘር ጭፍጨፋ እንድካሄድ ነጋ ጠባ በመንግስት ሚድያወች እየሰበከ አራት ኪሎ ባሉት ቡድንም ለፍርድ እስኪቀርቡ እንቅልፍ የለንም,Country
ነጠላው አውልቀው ጦር አየሰበቁ አማኝ መምሰል አያስፈልግም,Country
ሚሊየነር ታደርግሀለች መጀመሪያ ቢሊየነር ከሆንክ,Country
የሚገርመው ነገር የበላይ ዘለቀ ልጆች በዕለተ እሁድ 1መኪና ሙሉ ከከባድ እስከ ቀላል መሳሪያና ተተኳሻ፣ ብረት ለበስ ታንክና የመከላከያ መኪና መማረክ ሲችሉ ድሽቃ፣ ብሬን፣ ስናይፐርና ጥቁሩን ካላሽማ ለመቁጠር አልተቻለም,Country
በአሉ ባህላዊ የምስጋና እንጅ ሃይማኖታዊ እንዳልሆነ ባለቤቶቹ ሃይማኖናዊ የምትለው ከባለቤቶቹ የምታውቀው ከባለቤቱ የሚያውቅ,Non-Racist
በከተት አዋጁ መሰረት የቀረ የለም በአራቱም አቅጣጫ ያለውን ይዞ የፋሽስቱን ፅንፈኛ አብይ ጐመን ሰራዊት ለማጨድ ሳር ቅጠሉ ሳይቀር ለህልውናው እንዳባቶቹ ታሪክ ለመፃፍ እየተመመ ነው,Country
ሃይማኖት በሃይማኖት ካባ መሬት ዘርፏል,Country
የሄኖክ ድንቁን መቃብር ሲከፈት,Non-Racist
አጭሩ የሰፈራችን ፖሊስ ዩኒፎርሙን ሲለብስ አጃክስ የሚመስለው,Non-Racist
እነድህ የሚል መፈክር አላቸው ለህብረተሰብ ለውጥ እንተጋለን የአማራ ብዙሃን መገናኛ ድርጅት,Non-Racist
እየውልህ ምድረ ደደብ ከከብት የማይሻሉ ደነዞች የቅዱስ ገብርኤልን ከመኪና ሲልጥ አላመመህም አሞኛል አንተስ አንችስ እናንተስ ስለዚህ የእኛወቹ የከብት ጥርቅም አጋሰሶች ደርሰው ሀይማኖተኛ እንሁን የሚሉ የጎጃም ቡዳወችን ተከትለን እስላም ወንድሞቻችንን አናስቀይም,Regional
የካይሮ የውክልና ጦርነት በድንበር ግጭት ግብፅ የድንበር ግጭቶች በውክልና ጦርነት ደጋግማ ተሳትፋለች በኢትዮ ሶማሊያ ግጭቶች የነበራት አይነተኛ ማሳያ እኤአ ከሶማሊያ ባካሄደችው ጦርነት ካይሮ እጇን ለመክተት አልዘገየችም በወቅቱ ሶማሊያ ከሶቬት የነበራት ግንኙነት ተቋርጦ ሶማሊያ ወረራ እንደጀመረችም ግብፅ ከእስራኤል ለምታደርገው ውጊያ ከሩሲያ ካስገባቻቸው መሳሪያወች መጠን በይፋ ለሶማሊያ ሰጥታለች ታላቋ ሶማሊያን እመሰርታለሁ አላማ የሞቃድሾ ሀምሌ መደበኛ ሀይሉንና አየር ሀይሉን አቀናጅቶ መጠነ ዘመቻ በአገራችን ጀመረ የሞቃድሾ ስሌት ጦርነት የሚፈነዳ ውስጣዊ ችግሮች አጋጣሚ ናቸውና ሶማሊያም አጋጣሚውን ተጠቅማ ታደርጋለች አምስተኛውን በቁጥጥሯ በማዋል የታላቋ ሶማሊያ ቅዠታዊ ህልም እውን የግብፁ ኢጅፕሽያን ጋዜቲ የአረብ ፀሀፊው ማህሙድ ሬይድ ግብፃዊ የሊጉ አባል አገራት ለሶማሊያ ወታደራዊ እንድያደርጉ ማቅረባቸውን በየካቲት የግብፁ ፕሬዘዳንት አንዋር ሳዳት የሶማሊያ ወረራን በሚካሄደው ጦርነት ግብፅ ለሶማሊያ እያደረገች መሆኗን በይፋ ገለፁ ጦርና መሳሪያ እንደሚልክም የኬኒያ አገልግሎት ያደረሰውን መረጃ ጠቅሶ ሚኒስቴር የካቲት ባወጣው መግለጫ እንዳስታወቀው የግብፅ ቦይንግ አይሮፕላን ፈንጅ የመድፍ ዛጎሎች ሶማሊያ ሲበር በኬኒያ አየር ሀይል ተገዶ በናይሮቢ አለም አቀፍ አይሮፕላን ማረፊያ እንድያርፍ በየካቲት ሳዳት ለአሜሪካ በላከው ደብዳቤ አሜሪካ መሳሪያ ከወታደሮች ሶማሊያ እንድትልክ እፈልጋለሁ ሶቬት የምታደርገው እንቅስቃሴ የላይኛው አባይ ወደሚፈስበት ሱዳን ሊስፋፋ ግብፅ ለአገሬ ህይወት መስፋፋት ልከላከለው ጠይቀዋል ካይሮ በሶማሌ ወረራ ጅማሮ ሰሞን ሶማሊያን የምትደግፈው አረብ አገር አጋር ለመሆን በማለት የአረብ ሊግን ለማሳመን ሞክራ ምክንያቷ የአባይ ስለመሆኑ የማታ በሳዳት ደብዳቤ በምላሹ ኢትዮጵያን ሄራልድ ጋዜጣ ባወጣው ፅሁፍ ግብፅ ሶማሊያን መደገፏን ካላቆመች በአባይ ፍሰት ጣልቃ ልትገባ እንደምትችል ሳዳትን እንደሚከተለው አስጠንቅቋል ሳዳት ለህዝቡ ህይወት የአባይ ተፋሰስን ለመጠበቅ የሚሞክር ከአባይ ምንጮች የሚገኘው እርሱ ሳዳት ሊያጠፋት በሚፈልጋት በሚገባ ማወቅ አለበት በግብፅ ገበሬወች ዘንጅ ተወዳጅ ጥቁር ደለል የሚሄደው ከዚሁ ከዚህም ባለፈ ለህዝቧ ህይወት የሚያስብ ርእሰ ብሄር አላት ግብፅ እንደፈለገችው የኢትዮ ሶማሊያ ጦርነት ሶማሌ ከተመኘችው ተቃራኒ የተራዘመም ምስጋና ለጀግናው ሰራዊታችን በመጋቢት የኦጋደን ወታደራዊ ሰፈሮችና የአስተዳደር ማእከላትን በቁጥጥሯ አዋለች ሶቬት ደቡብ የመን ኢትዮጵያን ደግፈዋል በአባይ ፖለቲካ ካይሮ የሶማሊያን ካርድ ለመጫወት ያደረከችው ሙከራም ከቸፈ ካይሮ የድንበር ግጭት እጇን ለማስገባት እየተንቀሳቀሰች አያጠራጥርም በአልፋሻጋ የሱዳን አዋሳኝ ቦታወች ግጭቶች እየተከሰቱ ግጭቱ የአል አጋር የሱዳን ነገሩን ለማጦዝ ይሞክራል ድፕሎማቲክ አቋም አብደላ ሀምዶክ ችግሩን መፍታትና ለኢትዮጵያ ወቅታዊ ቀውስ አጋርነታቸውን እየገለፁ በኢትዮ ሱዳን ድንበር አካባቢ ሰርገው ለመግባት የሞከሩ ሀይሎች የግብፅ ይሁኑ አይሁኑ ማረጋገጥ ባይቻልም የተወሰኑ ወታደሮችም ይገኙበታል መረጃወች ተሰምተዋል ሸለምጥማጧ የድንበር ግጭት ካርድ ለመጫወት እየሞከረች አንድነትና ለኢትዮጵያችን የአባይ,Country
በግል በምትፅፋት ፋከራ አደለም በውጭ ያለውን የምታሳርዱትኧረ በውጭም ያለን የህዝብ አንድነት ለመናድ አትስሩ እንደተማረ አስቡ,Country
ብሶት የወለደው የተሰቃየው የአማራ ትግል ሁሉምንም ባስር እጥፍ አወራርዳል,Regional
